id,movimenti
http://www.wikidata.org/entity/Q9387722,pittura veneta; manierismo
http://www.wikidata.org/entity/Q11694943,pittura veneta
http://www.wikidata.org/entity/Q11753618,pittura veneta; manierismo
http://www.wikidata.org/entity/Q11769022,pittura veneta; manierismo
http://www.wikidata.org/entity/Q12172990,
http://www.wikidata.org/entity/Q15008032,pittura veneta; Alto Rinascimento
http://www.wikidata.org/entity/Q15157527,
http://www.wikidata.org/entity/Q15974347,Alto Rinascimento
http://www.wikidata.org/entity/Q15982437,
http://www.wikidata.org/entity/Q16167039,
http://www.wikidata.org/entity/Q16467999,pittura veneta
http://www.wikidata.org/entity/Q16536592,
http://www.wikidata.org/entity/Q16543332,pittura veneta; manierismo
http://www.wikidata.org/entity/Q16549203,
http://www.wikidata.org/entity/Q16564738,
http://www.wikidata.org/entity/Q16573223,
http://www.wikidata.org/entity/Q16574865,
http://www.wikidata.org/entity/Q16585848,manierismo
http://www.wikidata.org/entity/Q16585871,
http://www.wikidata.org/entity/Q16596967,
http://www.wikidata.org/entity/Q16608187,
http://www.wikidata.org/entity/Q16620779,
http://www.wikidata.org/entity/Q16621939,
http://www.wikidata.org/entity/Q17638342,
http://www.wikidata.org/entity/Q17652075,
http://www.wikidata.org/entity/Q18226128,
http://www.wikidata.org/entity/Q18385026,Macchiaioli
http://www.wikidata.org/entity/Q18578019,
http://www.wikidata.org/entity/Q18688370,pittura barocca
http://www.wikidata.org/entity/Q19060568,
http://www.wikidata.org/entity/Q19060621,
http://www.wikidata.org/entity/Q19361572,
http://www.wikidata.org/entity/Q19390001,
http://www.wikidata.org/entity/Q19516146,pittura rinascimentale italiana
http://www.wikidata.org/entity/Q19660300,
http://www.wikidata.org/entity/Q19681559,
http://www.wikidata.org/entity/Q19681664,
http://www.wikidata.org/entity/Q19686409,
http://www.wikidata.org/entity/Q19686414,
http://www.wikidata.org/entity/Q19882485,barocco
http://www.wikidata.org/entity/Q19947640,
http://www.wikidata.org/entity/Q19966565,
http://www.wikidata.org/entity/Q19966606,
http://www.wikidata.org/entity/Q19966608,
http://www.wikidata.org/entity/Q20092785,pittura veneta
http://www.wikidata.org/entity/Q20744065,
http://www.wikidata.org/entity/Q20744144,
http://www.wikidata.org/entity/Q20744173,
http://www.wikidata.org/entity/Q20991673,
http://www.wikidata.org/entity/Q21121896,
http://www.wikidata.org/entity/Q21192549,
http://www.wikidata.org/entity/Q21666329,
http://www.wikidata.org/entity/Q22917444,
http://www.wikidata.org/entity/Q22931136,
http://www.wikidata.org/entity/Q22949398,
http://www.wikidata.org/entity/Q22949778,
http://www.wikidata.org/entity/Q22949827,
http://www.wikidata.org/entity/Q22958240,
http://www.wikidata.org/entity/Q23006207,
http://www.wikidata.org/entity/Q23305501,
http://www.wikidata.org/entity/Q24050695,
http://www.wikidata.org/entity/Q24090610,
http://www.wikidata.org/entity/Q24090614,
http://www.wikidata.org/entity/Q24091047,
http://www.wikidata.org/entity/Q24091066,
http://www.wikidata.org/entity/Q24091089,
http://www.wikidata.org/entity/Q24091112,
http://www.wikidata.org/entity/Q24325684,
http://www.wikidata.org/entity/Q24933808,
http://www.wikidata.org/entity/Q24938224,
http://www.wikidata.org/entity/Q24939660,
http://www.wikidata.org/entity/Q24939839,
http://www.wikidata.org/entity/Q24939843,pittura veneta
http://www.wikidata.org/entity/Q24939884,
http://www.wikidata.org/entity/Q24940870,
http://www.wikidata.org/entity/Q25388274,
http://www.wikidata.org/entity/Q25410292,
http://www.wikidata.org/entity/Q25410567,
http://www.wikidata.org/entity/Q25444052,
http://www.wikidata.org/entity/Q26256901,
http://www.wikidata.org/entity/Q26488380,
http://www.wikidata.org/entity/Q27504416,
http://www.wikidata.org/entity/Q27507068,
http://www.wikidata.org/entity/Q27650796,
http://www.wikidata.org/entity/Q27664456,
http://www.wikidata.org/entity/Q27827425,pittura barocca
http://www.wikidata.org/entity/Q27830737,barocco
http://www.wikidata.org/entity/Q27948860,
http://www.wikidata.org/entity/Q27955751,
http://www.wikidata.org/entity/Q28093447,pittura napoletana
http://www.wikidata.org/entity/Q28113318,
http://www.wikidata.org/entity/Q28113316,
http://www.wikidata.org/entity/Q28147005,pittura veneta; Alto Rinascimento
http://www.wikidata.org/entity/Q3842594,pittura veneta; Primo Rinascimento
http://www.wikidata.org/entity/Q3842673,
http://www.wikidata.org/entity/Q3842700,pittura veneta
http://www.wikidata.org/entity/Q3842706,
http://www.wikidata.org/entity/Q3842713,
http://www.wikidata.org/entity/Q3842725,
http://www.wikidata.org/entity/Q3862624,
http://www.wikidata.org/entity/Q3863247,Alto Rinascimento
http://www.wikidata.org/entity/Q3873244,
http://www.wikidata.org/entity/Q3877894,rinascimento italiano
http://www.wikidata.org/entity/Q3879242,Alto Rinascimento
http://www.wikidata.org/entity/Q3884948,
http://www.wikidata.org/entity/Q3885620,pittura veneta; Alto Rinascimento
http://www.wikidata.org/entity/Q3889195,
http://www.wikidata.org/entity/Q3889203,pittura veneta; Alto Rinascimento
http://www.wikidata.org/entity/Q3889211,
http://www.wikidata.org/entity/Q3889220,
http://www.wikidata.org/entity/Q3889229,pittura veneta
http://www.wikidata.org/entity/Q3889247,
http://www.wikidata.org/entity/Q3889254,Primo Rinascimento
http://www.wikidata.org/entity/Q3889255,
http://www.wikidata.org/entity/Q3889253,
http://www.wikidata.org/entity/Q3904392,pittura veneta; Primo Rinascimento
http://www.wikidata.org/entity/Q3904398,
http://www.wikidata.org/entity/Q3907344,
http://www.wikidata.org/entity/Q3907497,
http://www.wikidata.org/entity/Q3908184,
http://www.wikidata.org/entity/Q3910087,Rinascimento
http://www.wikidata.org/entity/Q3910913,
http://www.wikidata.org/entity/Q3921705,scapigliatura
http://www.wikidata.org/entity/Q3921912,
http://www.wikidata.org/entity/Q3924389,Alto Rinascimento
http://www.wikidata.org/entity/Q3925592,Alto Rinascimento
http://www.wikidata.org/entity/Q3937080,futurismo
http://www.wikidata.org/entity/Q3937438,
http://www.wikidata.org/entity/Q3937502,
http://www.wikidata.org/entity/Q3937511,pittura veneta
http://www.wikidata.org/entity/Q3937547,
http://www.wikidata.org/entity/Q3937553,pittura veneta
http://www.wikidata.org/entity/Q3937561,manierismo
http://www.wikidata.org/entity/Q3937569,pittura veneta
http://www.wikidata.org/entity/Q3937598,pittura rinascimentale italiana; Alto Rinascimento
http://www.wikidata.org/entity/Q3937634,
http://www.wikidata.org/entity/Q3937643,pittura veneta
http://www.wikidata.org/entity/Q3944499,
http://www.wikidata.org/entity/Q3944515,pittura veneta
http://www.wikidata.org/entity/Q3945254,
http://www.wikidata.org/entity/Q3945710,
http://www.wikidata.org/entity/Q3946910,pittura veneta; Alto Rinascimento
http://www.wikidata.org/entity/Q3947013,
http://www.wikidata.org/entity/Q3947064,Alto Rinascimento
http://www.wikidata.org/entity/Q3947210,
http://www.wikidata.org/entity/Q3947211,pittura veneta; Alto Rinascimento
http://www.wikidata.org/entity/Q3947277,
http://www.wikidata.org/entity/Q3947281,Alto Rinascimento
http://www.wikidata.org/entity/Q3947288,
http://www.wikidata.org/entity/Q3947375,Alto Rinascimento
http://www.wikidata.org/entity/Q3947504,
http://www.wikidata.org/entity/Q3947687,
http://www.wikidata.org/entity/Q3947723,
http://www.wikidata.org/entity/Q3947812,
http://www.wikidata.org/entity/Q3948034,Alto Rinascimento
http://www.wikidata.org/entity/Q3948651,Alto Rinascimento
http://www.wikidata.org/entity/Q3948701,
http://www.wikidata.org/entity/Q3949208,
http://www.wikidata.org/entity/Q3949310,Alto Rinascimento
http://www.wikidata.org/entity/Q3949373,Alto Rinascimento
http://www.wikidata.org/entity/Q3949458,
http://www.wikidata.org/entity/Q3949459,
http://www.wikidata.org/entity/Q3954057,
http://www.wikidata.org/entity/Q3967206,Alto Rinascimento
http://www.wikidata.org/entity/Q3973584,pittura veneta; Alto Rinascimento
http://www.wikidata.org/entity/Q3974449,
http://www.wikidata.org/entity/Q3979950,
http://www.wikidata.org/entity/Q3979952,
http://www.wikidata.org/entity/Q3979961,
http://www.wikidata.org/entity/Q3981174,
http://www.wikidata.org/entity/Q3982379,
http://www.wikidata.org/entity/Q3983114,Primo Rinascimento
http://www.wikidata.org/entity/Q3984830,
http://www.wikidata.org/entity/Q3985169,rinascimento italiano
http://www.wikidata.org/entity/Q3985186,protorinascimento
http://www.wikidata.org/entity/Q3985472,
http://www.wikidata.org/entity/Q3992111,
