id,generi
http://www.wikidata.org/entity/Q3889253,arte religiosa
http://www.wikidata.org/entity/Q3904392,arte religiosa
http://www.wikidata.org/entity/Q3904398,arte religiosa
http://www.wikidata.org/entity/Q3907344,pittura mitologica
http://www.wikidata.org/entity/Q3907497,arte religiosa
http://www.wikidata.org/entity/Q3908184,
http://www.wikidata.org/entity/Q3910087,arte religiosa
http://www.wikidata.org/entity/Q3910913,arte religiosa
http://www.wikidata.org/entity/Q3921705,pittura paesaggistica
http://www.wikidata.org/entity/Q3921912,arte religiosa
http://www.wikidata.org/entity/Q3924389,arte religiosa
http://www.wikidata.org/entity/Q3925592,
http://www.wikidata.org/entity/Q3937080,arte di genere
http://www.wikidata.org/entity/Q3937438,ritratto
http://www.wikidata.org/entity/Q3937502,ritratto
http://www.wikidata.org/entity/Q3937511,ritratto
http://www.wikidata.org/entity/Q3937547,ritratto equestre
http://www.wikidata.org/entity/Q3937553,ritratto
http://www.wikidata.org/entity/Q3937561,ritratto
http://www.wikidata.org/entity/Q3937569,ritratto
http://www.wikidata.org/entity/Q3937598,ritratto
http://www.wikidata.org/entity/Q3937634,ritratto
http://www.wikidata.org/entity/Q3937643,ritratto
http://www.wikidata.org/entity/Q3944499,arte religiosa
http://www.wikidata.org/entity/Q3944515,arte religiosa
http://www.wikidata.org/entity/Q3945254,
http://www.wikidata.org/entity/Q3945710,arte religiosa
http://www.wikidata.org/entity/Q3946910,arte religiosa
http://www.wikidata.org/entity/Q3947013,arte religiosa
http://www.wikidata.org/entity/Q3947064,arte religiosa
http://www.wikidata.org/entity/Q3947210,arte religiosa
http://www.wikidata.org/entity/Q3947211,arte religiosa
http://www.wikidata.org/entity/Q3947277,arte religiosa
http://www.wikidata.org/entity/Q3947281,arte religiosa
http://www.wikidata.org/entity/Q3947288,arte religiosa
http://www.wikidata.org/entity/Q3947375,arte religiosa
http://www.wikidata.org/entity/Q3947504,arte religiosa
http://www.wikidata.org/entity/Q3947687,arte religiosa
http://www.wikidata.org/entity/Q3947723,arte religiosa
http://www.wikidata.org/entity/Q3947812,arte religiosa
http://www.wikidata.org/entity/Q3948034,arte religiosa
http://www.wikidata.org/entity/Q3948651,arte religiosa
http://www.wikidata.org/entity/Q3948701,arte religiosa
http://www.wikidata.org/entity/Q3949208,arte religiosa
http://www.wikidata.org/entity/Q3949310,arte religiosa
http://www.wikidata.org/entity/Q3949373,arte religiosa
http://www.wikidata.org/entity/Q3949458,
http://www.wikidata.org/entity/Q3949459,
http://www.wikidata.org/entity/Q3954057,arte religiosa
http://www.wikidata.org/entity/Q3967206,arte religiosa
http://www.wikidata.org/entity/Q3973584,arte religiosa
http://www.wikidata.org/entity/Q3974449,arte religiosa
http://www.wikidata.org/entity/Q3979950,arte religiosa
http://www.wikidata.org/entity/Q3979952,arte religiosa
http://www.wikidata.org/entity/Q3979961,arte religiosa
http://www.wikidata.org/entity/Q3981174,
http://www.wikidata.org/entity/Q3982379,arte religiosa
http://www.wikidata.org/entity/Q3983114,allegoria
http://www.wikidata.org/entity/Q3984830,pittura mitologica
http://www.wikidata.org/entity/Q3985169,arte religiosa
http://www.wikidata.org/entity/Q3985186,ritratto
http://www.wikidata.org/entity/Q3985472,pittura mitologica
http://www.wikidata.org/entity/Q3992111,arte religiosa
http://www.wikidata.org/entity/Q3994163,
http://www.wikidata.org/entity/Q3997723,arte religiosa
http://www.wikidata.org/entity/Q3998940,arte religiosa
http://www.wikidata.org/entity/Q3999094,arte religiosa
http://www.wikidata.org/entity/Q3999095,arte religiosa
http://www.wikidata.org/entity/Q4006302,pittura mitologica
http://www.wikidata.org/entity/Q4010476,arte religiosa
http://www.wikidata.org/entity/Q4010941,arte religiosa
http://www.wikidata.org/entity/Q4014547,arte religiosa
http://www.wikidata.org/entity/Q4015931,arte religiosa
http://www.wikidata.org/entity/Q4015932,arte religiosa
http://www.wikidata.org/entity/Q5659648,arte religiosa
http://www.wikidata.org/entity/Q5954551,pittura mitologica
http://www.wikidata.org/entity/Q6696013,ritratto; autoritratto
http://www.wikidata.org/entity/Q7232252,ritratto
http://www.wikidata.org/entity/Q7232287,ritratto
http://www.wikidata.org/entity/Q7232305,ritratto
http://www.wikidata.org/entity/Q7401416,arte religiosa
http://www.wikidata.org/entity/Q7401482,arte religiosa
http://www.wikidata.org/entity/Q7720644,arte religiosa
http://www.wikidata.org/entity/Q7750471,arte religiosa
http://www.wikidata.org/entity/Q7885787,arte religiosa
http://www.wikidata.org/entity/Q7920573,pittura mitologica
http://www.wikidata.org/entity/Q9387722,arte religiosa
http://www.wikidata.org/entity/Q11694943,arte religiosa
http://www.wikidata.org/entity/Q11753618,nudo artistico; pittura mitologica
http://www.wikidata.org/entity/Q11769022,arte religiosa
http://www.wikidata.org/entity/Q12172990,ritratto
http://www.wikidata.org/entity/Q15008032,pittura mitologica
http://www.wikidata.org/entity/Q15157527,arte religiosa
http://www.wikidata.org/entity/Q15974347,arte religiosa
http://www.wikidata.org/entity/Q15982437,pittura mitologica
http://www.wikidata.org/entity/Q16167039,
http://www.wikidata.org/entity/Q16467999,ritratto
http://www.wikidata.org/entity/Q16536592,capriccio
http://www.wikidata.org/entity/Q16543332,arte religiosa
http://www.wikidata.org/entity/Q16549203,arte religiosa
http://www.wikidata.org/entity/Q16564738,arte religiosa
