id,artisti
http://www.wikidata.org/entity/Q3463871,Raffaello Sanzio (maschio)
http://www.wikidata.org/entity/Q3464027,Giotto (maschio)
http://www.wikidata.org/entity/Q107548658,
http://www.wikidata.org/entity/Q3471589,Giotto (maschio)
http://www.wikidata.org/entity/Q3472935,Giotto (maschio)
http://www.wikidata.org/entity/Q108321038,
http://www.wikidata.org/entity/Q108321039,
http://www.wikidata.org/entity/Q3495790,Tiziano Vecellio (maschio)
http://www.wikidata.org/entity/Q108816249,
http://www.wikidata.org/entity/Q108873567,
http://www.wikidata.org/entity/Q110619157,
http://www.wikidata.org/entity/Q111486756,
http://www.wikidata.org/entity/Q111486873,
http://www.wikidata.org/entity/Q3605530,Giovanni Battista Pittoni (maschio)
http://www.wikidata.org/entity/Q3605532,Filippino Lippi (maschio)
http://www.wikidata.org/entity/Q3605568,Filippo Lippi (maschio)
http://www.wikidata.org/entity/Q112075694,
http://www.wikidata.org/entity/Q112109956,
http://www.wikidata.org/entity/Q112133371,
http://www.wikidata.org/entity/Q112133543,
http://www.wikidata.org/entity/Q3618188,Andrea del Sarto (maschio)
http://www.wikidata.org/entity/Q3620766,Giambattista Tiepolo (maschio)
http://www.wikidata.org/entity/Q3620765,Giambattista Tiepolo (maschio)
http://www.wikidata.org/entity/Q3623738,Il Bacchiacca (maschio)
http://www.wikidata.org/entity/Q3625842,Agnolo Bronzino (maschio)
http://www.wikidata.org/entity/Q3627401,Rosso Fiorentino (maschio)
http://www.wikidata.org/entity/Q3630726,Hans Holbein il Giovane (maschio)
http://www.wikidata.org/entity/Q3636748,Tiziano Vecellio (maschio)
http://www.wikidata.org/entity/Q3639064,Teofilo Patini (maschio)
http://www.wikidata.org/entity/Q3642142,Giotto (maschio)
http://www.wikidata.org/entity/Q3650885,Cosmè Tura (maschio)
http://www.wikidata.org/entity/Q126284199,
http://www.wikidata.org/entity/Q126284197,
http://www.wikidata.org/entity/Q126284206,
http://www.wikidata.org/entity/Q126284226,
http://www.wikidata.org/entity/Q126284230,
http://www.wikidata.org/entity/Q126284231,
http://www.wikidata.org/entity/Q126284234,
http://www.wikidata.org/entity/Q126284233,
http://www.wikidata.org/entity/Q126284247,
http://www.wikidata.org/entity/Q126284244,
http://www.wikidata.org/entity/Q126284245,
http://www.wikidata.org/entity/Q126284250,
http://www.wikidata.org/entity/Q126284249,
http://www.wikidata.org/entity/Q126284252,
http://www.wikidata.org/entity/Q126284263,
http://www.wikidata.org/entity/Q126284260,
http://www.wikidata.org/entity/Q126284261,
http://www.wikidata.org/entity/Q126284267,
http://www.wikidata.org/entity/Q126284270,
http://www.wikidata.org/entity/Q126284269,
http://www.wikidata.org/entity/Q126284274,
http://www.wikidata.org/entity/Q126284278,
http://www.wikidata.org/entity/Q126284277,
http://www.wikidata.org/entity/Q126284294,
http://www.wikidata.org/entity/Q126284293,
http://www.wikidata.org/entity/Q126284298,
http://www.wikidata.org/entity/Q126284299,
http://www.wikidata.org/entity/Q126284303,
http://www.wikidata.org/entity/Q126284300,
http://www.wikidata.org/entity/Q126284301,
http://www.wikidata.org/entity/Q126284305,
http://www.wikidata.org/entity/Q126456555,
http://www.wikidata.org/entity/Q126680509,
http://www.wikidata.org/entity/Q126727198,
http://www.wikidata.org/entity/Q126891336,
