id,soggetti
http://www.wikidata.org/entity/Q7401416,San Girolamo nel deserto
http://www.wikidata.org/entity/Q7401482,
http://www.wikidata.org/entity/Q7720644,
http://www.wikidata.org/entity/Q7750471,
http://www.wikidata.org/entity/Q7885787,
http://www.wikidata.org/entity/Q7920573,
http://www.wikidata.org/entity/Q9387722,caduta della manna
http://www.wikidata.org/entity/Q11694943,
http://www.wikidata.org/entity/Q11753618,Leda e il cigno
http://www.wikidata.org/entity/Q11769022,Maria Maddalena
http://www.wikidata.org/entity/Q12172990,ragazzo
http://www.wikidata.org/entity/Q15008032,
http://www.wikidata.org/entity/Q15157527,
http://www.wikidata.org/entity/Q15974347,
http://www.wikidata.org/entity/Q15982437,
http://www.wikidata.org/entity/Q16167039,
http://www.wikidata.org/entity/Q16467999,Gabriel de Luetz
http://www.wikidata.org/entity/Q16536592,
http://www.wikidata.org/entity/Q16543332,Compianto sul Cristo morto
http://www.wikidata.org/entity/Q16549203,deposizione di Gesù
http://www.wikidata.org/entity/Q16564738,battesimo di Gesù
http://www.wikidata.org/entity/Q16573223,
http://www.wikidata.org/entity/Q16574865,Maria; Madonna col Bambino
http://www.wikidata.org/entity/Q16585848,Sacra conversazione
http://www.wikidata.org/entity/Q16585871,
http://www.wikidata.org/entity/Q16596967,
http://www.wikidata.org/entity/Q16608187,sposalizio mistico di santa Caterina
http://www.wikidata.org/entity/Q16620779,Madonna col Bambino
http://www.wikidata.org/entity/Q16621939,Stimmate di San Francesco
http://www.wikidata.org/entity/Q17638342,
http://www.wikidata.org/entity/Q17652075,Sacra Famiglia
http://www.wikidata.org/entity/Q18226128,Rembrandt
http://www.wikidata.org/entity/Q18385026,
http://www.wikidata.org/entity/Q18578019,
http://www.wikidata.org/entity/Q18688370,papa Urbano VIII
http://www.wikidata.org/entity/Q19060568,Ferdinando I delle Due Sicilie
http://www.wikidata.org/entity/Q19060621,Ferdinando I delle Due Sicilie
http://www.wikidata.org/entity/Q19361572,Élisabeth Vigée Le Brun
http://www.wikidata.org/entity/Q19390001,Lavinia Fontana
http://www.wikidata.org/entity/Q19516146,papa Giulio II
http://www.wikidata.org/entity/Q19660300,
http://www.wikidata.org/entity/Q19681559,
http://www.wikidata.org/entity/Q19681664,
http://www.wikidata.org/entity/Q19686409,
http://www.wikidata.org/entity/Q19686414,
http://www.wikidata.org/entity/Q19882485,papa Urbano VIII
http://www.wikidata.org/entity/Q19947640,Cesare Borgia
http://www.wikidata.org/entity/Q19966565,Gesù
http://www.wikidata.org/entity/Q19966606,sposalizio della Vergine
http://www.wikidata.org/entity/Q19966608,nozze mistiche di Santa Caterina d'Alessandria
http://www.wikidata.org/entity/Q20092785,Sofronio Eusebio Girolamo
http://www.wikidata.org/entity/Q20744065,Niccolò Musso
http://www.wikidata.org/entity/Q20744144,
http://www.wikidata.org/entity/Q20744173,
http://www.wikidata.org/entity/Q20991673,Biagio Bellotti
http://www.wikidata.org/entity/Q21121896,
http://www.wikidata.org/entity/Q21192549,
http://www.wikidata.org/entity/Q21666329,crocifissione di Gesù; strage degli innocenti
http://www.wikidata.org/entity/Q22917444,
http://www.wikidata.org/entity/Q22931136,Peder Severin Krøyer
http://www.wikidata.org/entity/Q22949398,
http://www.wikidata.org/entity/Q22949778,
http://www.wikidata.org/entity/Q22949827,
http://www.wikidata.org/entity/Q22958240,
http://www.wikidata.org/entity/Q23006207,
http://www.wikidata.org/entity/Q23305501,Giovanni Battista Salvi
http://www.wikidata.org/entity/Q24050695,
http://www.wikidata.org/entity/Q24090610,
http://www.wikidata.org/entity/Q24090614,
http://www.wikidata.org/entity/Q24091047,
http://www.wikidata.org/entity/Q24091066,
http://www.wikidata.org/entity/Q24091089,
http://www.wikidata.org/entity/Q24091112,
http://www.wikidata.org/entity/Q24325684,
http://www.wikidata.org/entity/Q24933808,Benedetto da Norcia
http://www.wikidata.org/entity/Q24938224,
http://www.wikidata.org/entity/Q24939660,
http://www.wikidata.org/entity/Q24939839,
http://www.wikidata.org/entity/Q24939843,
http://www.wikidata.org/entity/Q24939884,
http://www.wikidata.org/entity/Q24940870,
http://www.wikidata.org/entity/Q25388274,
http://www.wikidata.org/entity/Q25410292,
http://www.wikidata.org/entity/Q25410567,
http://www.wikidata.org/entity/Q25444052,Visitazione della Beata Vergine Maria
http://www.wikidata.org/entity/Q26256901,battesimo di Gesù
http://www.wikidata.org/entity/Q26488380,
http://www.wikidata.org/entity/Q27504416,
http://www.wikidata.org/entity/Q27507068,
http://www.wikidata.org/entity/Q27650796,
http://www.wikidata.org/entity/Q27664456,
http://www.wikidata.org/entity/Q27827425,primavera
http://www.wikidata.org/entity/Q27830737,estate
http://www.wikidata.org/entity/Q27948860,Alessandro Manzoni
http://www.wikidata.org/entity/Q27955751,Sacra Famiglia
http://www.wikidata.org/entity/Q28093447,Eneide
http://www.wikidata.org/entity/Q28113318,Stefano Colonna di Palestrina
http://www.wikidata.org/entity/Q28113316,Beatrice Cenci
http://www.wikidata.org/entity/Q28147005,Risurrezione di Gesù
http://www.wikidata.org/entity/Q58185294,Luigi Tosi
http://www.wikidata.org/entity/Q58231270,
http://www.wikidata.org/entity/Q58480176,
http://www.wikidata.org/entity/Q58956093,Incoronazione della Vergine
http://www.wikidata.org/entity/Q59185173,deposizione di Gesù
http://www.wikidata.org/entity/Q59185398,
http://www.wikidata.org/entity/Q59442235,
http://www.wikidata.org/entity/Q59914107,
http://www.wikidata.org/entity/Q60838300,
http://www.wikidata.org/entity/Q61767320,Annunciazione
http://www.wikidata.org/entity/Q61816747,
http://www.wikidata.org/entity/Q62014629,
