id,altezza
http://www.wikidata.org/entity/Q3207989,203
http://www.wikidata.org/entity/Q3210267,40
http://www.wikidata.org/entity/Q3213773,120
http://www.wikidata.org/entity/Q3213778,85
http://www.wikidata.org/entity/Q3213801,124
http://www.wikidata.org/entity/Q3220282,410
http://www.wikidata.org/entity/Q3223625,1290
http://www.wikidata.org/entity/Q99937752,
http://www.wikidata.org/entity/Q3276171,180
http://www.wikidata.org/entity/Q3276180,110
http://www.wikidata.org/entity/Q3276168,81.5
http://www.wikidata.org/entity/Q105025725,
http://www.wikidata.org/entity/Q3399438,59.5
http://www.wikidata.org/entity/Q105760555,
http://www.wikidata.org/entity/Q106575251,
http://www.wikidata.org/entity/Q106857023,
http://www.wikidata.org/entity/Q107311733,
http://www.wikidata.org/entity/Q3464027,50
http://www.wikidata.org/entity/Q3463871,165
http://www.wikidata.org/entity/Q107440131,
http://www.wikidata.org/entity/Q107467842,
http://www.wikidata.org/entity/Q107548658,
http://www.wikidata.org/entity/Q3471589,50
http://www.wikidata.org/entity/Q3472935,84
http://www.wikidata.org/entity/Q108314527,
http://www.wikidata.org/entity/Q108321038,
http://www.wikidata.org/entity/Q108321039,
http://www.wikidata.org/entity/Q3495790,90
http://www.wikidata.org/entity/Q108799898,
http://www.wikidata.org/entity/Q108816249,
http://www.wikidata.org/entity/Q108900483,
http://www.wikidata.org/entity/Q109913050,
http://www.wikidata.org/entity/Q110770118,
http://www.wikidata.org/entity/Q111041574,
http://www.wikidata.org/entity/Q111042707,
http://www.wikidata.org/entity/Q111485530,
http://www.wikidata.org/entity/Q111485979,
http://www.wikidata.org/entity/Q111486358,
http://www.wikidata.org/entity/Q111486756,
http://www.wikidata.org/entity/Q111486805,
http://www.wikidata.org/entity/Q111486873,
http://www.wikidata.org/entity/Q111738668,
http://www.wikidata.org/entity/Q3605530,420
http://www.wikidata.org/entity/Q3605568,140
http://www.wikidata.org/entity/Q3605532,258
http://www.wikidata.org/entity/Q111972094,
http://www.wikidata.org/entity/Q112034219,
http://www.wikidata.org/entity/Q112074870,
http://www.wikidata.org/entity/Q112125081,
http://www.wikidata.org/entity/Q112133371,
http://www.wikidata.org/entity/Q112133543,
http://www.wikidata.org/entity/Q3618188,96
http://www.wikidata.org/entity/Q3620765,800
http://www.wikidata.org/entity/Q3620766,210
http://www.wikidata.org/entity/Q3623738,26
http://www.wikidata.org/entity/Q3625842,74
http://www.wikidata.org/entity/Q3627401,385
http://www.wikidata.org/entity/Q3630726,32
