id,larghezza
http://www.wikidata.org/entity/Q110770118,
http://www.wikidata.org/entity/Q111041574,
http://www.wikidata.org/entity/Q111042707,
http://www.wikidata.org/entity/Q111485530,
http://www.wikidata.org/entity/Q111485979,
http://www.wikidata.org/entity/Q111486358,
http://www.wikidata.org/entity/Q111486756,
http://www.wikidata.org/entity/Q111486805,
http://www.wikidata.org/entity/Q111486873,
http://www.wikidata.org/entity/Q111738668,
http://www.wikidata.org/entity/Q3605530,260
http://www.wikidata.org/entity/Q3605568,130
http://www.wikidata.org/entity/Q3605532,243
http://www.wikidata.org/entity/Q111972094,
http://www.wikidata.org/entity/Q112034219,
http://www.wikidata.org/entity/Q112074870,
http://www.wikidata.org/entity/Q112125081,
http://www.wikidata.org/entity/Q112133371,
http://www.wikidata.org/entity/Q112133543,
http://www.wikidata.org/entity/Q3618188,189
http://www.wikidata.org/entity/Q3620765,600
http://www.wikidata.org/entity/Q3620766,119
http://www.wikidata.org/entity/Q3623738,14
http://www.wikidata.org/entity/Q3625842,58
http://www.wikidata.org/entity/Q3627401,337
http://www.wikidata.org/entity/Q3630726,26
http://www.wikidata.org/entity/Q3636748,89
http://www.wikidata.org/entity/Q3639064,416
http://www.wikidata.org/entity/Q3642142,110
http://www.wikidata.org/entity/Q3650885,71
http://www.wikidata.org/entity/Q113878786,
http://www.wikidata.org/entity/Q3685501,220
http://www.wikidata.org/entity/Q3686814,67.2
http://www.wikidata.org/entity/Q3697602,39
http://www.wikidata.org/entity/Q3697640,330
http://www.wikidata.org/entity/Q3698182,270
http://www.wikidata.org/entity/Q3697588,62.5
http://www.wikidata.org/entity/Q3704794,168
http://www.wikidata.org/entity/Q114869573,
http://www.wikidata.org/entity/Q3706331,380
http://www.wikidata.org/entity/Q3709306,167.8
http://www.wikidata.org/entity/Q115067483,
http://www.wikidata.org/entity/Q3711898,123
http://www.wikidata.org/entity/Q3714445,250
http://www.wikidata.org/entity/Q3725199,87.6
http://www.wikidata.org/entity/Q3725832,693
http://www.wikidata.org/entity/Q115680005,
http://www.wikidata.org/entity/Q3731103,72.1
http://www.wikidata.org/entity/Q3732905,165
http://www.wikidata.org/entity/Q115862528,
http://www.wikidata.org/entity/Q115898761,
http://www.wikidata.org/entity/Q3740793,90.5
http://www.wikidata.org/entity/Q3743879,175
http://www.wikidata.org/entity/Q3747239,76
http://www.wikidata.org/entity/Q116270130,
http://www.wikidata.org/entity/Q3752350,39
http://www.wikidata.org/entity/Q3752977,1588
http://www.wikidata.org/entity/Q3766168,54
http://www.wikidata.org/entity/Q3769202,860
http://www.wikidata.org/entity/Q3771679,224
http://www.wikidata.org/entity/Q3771749,197
http://www.wikidata.org/entity/Q3771746,346
http://www.wikidata.org/entity/Q116990427,
http://www.wikidata.org/entity/Q117042320,
http://www.wikidata.org/entity/Q3775535,42
http://www.wikidata.org/entity/Q3778382,45
http://www.wikidata.org/entity/Q117304805,
http://www.wikidata.org/entity/Q3784272,45
http://www.wikidata.org/entity/Q3784247,76
http://www.wikidata.org/entity/Q117427024,
http://www.wikidata.org/entity/Q117447676,
http://www.wikidata.org/entity/Q117470090,
http://www.wikidata.org/entity/Q117715996,
http://www.wikidata.org/entity/Q3797482,56
http://www.wikidata.org/entity/Q117834449,
http://www.wikidata.org/entity/Q117834473,
http://www.wikidata.org/entity/Q117834509,
http://www.wikidata.org/entity/Q117834674,
http://www.wikidata.org/entity/Q117834758,
