id,titolo,artisti,data_creazione,generi,luoghi,collezioni,contenuti,movimenti,soggetti,altezza,larghezza
http://www.wikidata.org/entity/Q131613717,La battaglia di Custoza,Giovanni Fattori (maschio),1876,,Galleria Nazionale d'Arte Moderna e Contemporanea,Galleria Nazionale d'Arte Moderna e Contemporanea,battaglia di Custoza,,battaglia di Custoza,,
http://www.wikidata.org/entity/Q131613716,La Torre Rossa,Giovanni Fattori (maschio),,,"Museo civico ""Giovanni Fattori""","Museo civico ""Giovanni Fattori""",torre,,torre,,
http://www.wikidata.org/entity/Q131613722,Lavandaia alla fontana,Giovanni Segantini (maschio),,,Galleria d'arte moderna di Milano,Galleria d'arte moderna di Milano,fontana; lavandaia,,lavandaia,,
http://www.wikidata.org/entity/Q131613721,La spartizione della polenta in famiglia,Innocente Salvini (maschio),1971,,Galleria all'aperto dell'affresco di Arcumeggia,Galleria all'aperto dell'affresco di Arcumeggia,famiglia,,famiglia,,
http://www.wikidata.org/entity/Q131613729,Madame Roland nel carcere di Sainte Pélagie,Évariste Carpentier (maschio),1886,,Museo Revoltella,Museo Revoltella,Marie-Jeanne Roland de la Platière; Prigione di Sainte-Pélagie,,Marie-Jeanne Roland de la Platière,,
http://www.wikidata.org/entity/Q131613734,Madonna e Bambino in gloria con santi (pala d'altare Scarani),Perugino (maschio),,,Pinacoteca Nazionale di Bologna,Pinacoteca Nazionale di Bologna,Madonna col Bambino,,Madonna col Bambino,,
http://www.wikidata.org/entity/Q131613742,Madonna con Bambino e San Giovanni Battista,Lorenzo Monaco (maschio),,,Galleria dell'Accademia,Galleria dell'Accademia,Madonna col Bambino,,Madonna col Bambino,,
http://www.wikidata.org/entity/Q131613743,"Madonna con Bambino, san Giovannino e san Zaccaria",,1603,,Museo Poldi Pezzoli,Museo Poldi Pezzoli,Madonna col Bambino,,Madonna col Bambino,,
http://www.wikidata.org/entity/Q131613741,Madonna col Bambino fra due vasi di rose,Ercole de' Roberti (maschio),,,Pinacoteca nazionale di Ferrara,Pinacoteca nazionale di Siena,Madonna col Bambino,,Madonna col Bambino,,
http://www.wikidata.org/entity/Q131613746,"Madonna in trono col Bambino e santi Giuseppe, Francesco, e Domenico",Perin del Vaga (maschio),1534,,Museo diocesano (Genova),Museo diocesano (Genova),Sacra conversazione; Madonna col Bambino,,Madonna col Bambino,,
http://www.wikidata.org/entity/Q131613745,Madonna e Angelo,Cristoforo De Amicis (maschio),1958,,Galleria all'aperto dell'affresco di Arcumeggia,Galleria all'aperto dell'affresco di Arcumeggia,Maria,,Maria,,
http://www.wikidata.org/entity/Q131613748,Madre con bambino al desco di Arcumeggia,Umberto Faini (maschio),1961,,Galleria all'aperto dell'affresco di Arcumeggia,Galleria all'aperto dell'affresco di Arcumeggia,Madonna col Bambino,,Madonna col Bambino,,
http://www.wikidata.org/entity/Q131613826,affreschi dell'Orlando Furioso da palazzo Torfanini (Bologna),Nicolò dell'Abate (maschio),,,Pinacoteca Nazionale di Bologna,Pinacoteca Nazionale di Bologna,Orlando furioso,,Orlando furioso,,
http://www.wikidata.org/entity/Q131613784,Marina al tramonto,Giovanni Fattori (maschio),1890,paesaggio marino,Galleria d'arte moderna di Firenze,Galleria d'arte moderna di Firenze,mare,,mare,19.0,33.0
http://www.wikidata.org/entity/Q131613785,Martirio di San Pietro,Guercino (maschio),1618,arte religiosa,Galleria Estense,Galleria Estense,Pietro; angelo; martirio,,,320.0,193.0
http://www.wikidata.org/entity/Q131613832,Conquista del castello,Duccio di Buoninsegna (maschio),1314,,Palazzo Pubblico,Palazzo Pubblico,assedio,,assedio,,
http://www.wikidata.org/entity/Q131613797,Muratori al lavoro,Luca Campano (maschio),1961,,Galleria all'aperto dell'affresco di Arcumeggia,Galleria all'aperto dell'affresco di Arcumeggia,muratore,,muratore,,
http://www.wikidata.org/entity/Q131613821,Natura morta con cacciagione,Giovanni Segantini (maschio),1880,,Museo d'arte moderna e contemporanea di Trento e Rovereto,Museo d'arte moderna e contemporanea di Trento e Rovereto,natura morta; selvaggina,,natura morta,,
http://www.wikidata.org/entity/Q131613833,La Sacra Famiglia di San Leonardo,Il Sodoma (maschio),,,Palazzo Pubblico,Palazzo Pubblico,Madonna col Bambino,,Madonna col Bambino,,
http://www.wikidata.org/entity/Q131613870,Ritratti di mebri della casa dei Borbone (serie),,,,Castello Reale di Racconigi,Castello Reale di Racconigi,Borbone,,Borbone,,
http://www.wikidata.org/entity/Q131613868,Ritratto della dogaressa Elisabetta Querini Valier,Niccolò Cassana (maschio),1694,ritratto,Pinacoteca Querini Stampalia,Pinacoteca Querini Stampalia,Elisabetta Querini,,Elisabetta Querini,,
http://www.wikidata.org/entity/Q131613869,Ritratti di principi di Savoia-Carignano (serie),,,,Castello Reale di Racconigi,Castello Reale di Racconigi,Savoia-Carignano,,Savoia-Carignano,,
http://www.wikidata.org/entity/Q131613879,Quattro figure accovacciate,Augusto Alvini (maschio),1961,,Galleria all'aperto dell'affresco di Arcumeggia,Galleria all'aperto dell'affresco di Arcumeggia,,,,,
http://www.wikidata.org/entity/Q131613890,Ritorno della cavalleria,Giovanni Fattori (maschio),1888,,Pinacoteca metropolitana di Bari,Pinacoteca metropolitana di Bari,cavalleria,,cavalleria,,
http://www.wikidata.org/entity/Q131613888,Riposo nella fuga in Egitto,Domenico Fiasella (maschio),1625,,museo di Sant'Agostino,museo di Sant'Agostino,Fuga in Egitto,,Fuga in Egitto,,
http://www.wikidata.org/entity/Q131613892,Ritratto di Alessandro Manzoni,Francesco Hayez (maschio),1874,ritratto,Galleria d'arte moderna di Milano,Galleria d'arte moderna di Milano,Alessandro Manzoni,,Alessandro Manzoni,,
http://www.wikidata.org/entity/Q131613904,San Rocco in carcere,Guido Reni (maschio),,,Galleria Estense,Galleria Estense,san Rocco,,san Rocco,,
http://www.wikidata.org/entity/Q131613914,Simbolo dell'Evangelista Luca (toro),Tiziano Vecellio (maschio),,,Gallerie dell'Accademia,Gallerie dell'Accademia,Toro di San Luca,,Toro di San Luca,,
http://www.wikidata.org/entity/Q131613915,Simbolo dell'Evangelista Marco (leone),Tiziano Vecellio (maschio),,,Gallerie dell'Accademia,Gallerie dell'Accademia,Leone di san Marco,,Leone di san Marco,,
http://www.wikidata.org/entity/Q131613912,Severin bev pooc vin!!!,Gianfilippo Usellini (maschio),1964,,Galleria all'aperto dell'affresco di Arcumeggia,Galleria all'aperto dell'affresco di Arcumeggia,,,,,
http://www.wikidata.org/entity/Q131613913,Simbolo dell'Evangelista Giovanni (aquila),Tiziano Vecellio (maschio),,,Gallerie dell'Accademia,Gallerie dell'Accademia,aquila di San Giovanni,,aquila di San Giovanni,,
http://www.wikidata.org/entity/Q131613916,Simbolo dell'Evangelista Matteo (angelo),Tiziano Vecellio (maschio),,,Gallerie dell'Accademia,Gallerie dell'Accademia,Angelo di San Matteo,,Angelo di San Matteo,,
http://www.wikidata.org/entity/Q131613820,Natura morta,Giovanni Segantini (maschio),,natura morta,Galleria d'arte moderna di Milano,Galleria d'arte moderna di Milano,natura morta,,natura morta,,
http://www.wikidata.org/entity/Q131613875,Primavera,"Massimo ""Antime"" Parietti (maschio)",1996,,Galleria all'aperto dell'affresco di Arcumeggia,Galleria all'aperto dell'affresco di Arcumeggia,primavera,,primavera,,
http://www.wikidata.org/entity/Q131613731,Madonna col Bambino,Franciabigio (maschio),,arte religiosa,Pinacoteca Nazionale di Bologna,Pinacoteca Nazionale di Bologna,Madonna col Bambino,,Madonna col Bambino,,
http://www.wikidata.org/entity/Q131613732,Madonna col Bambino,Jacopo Bellini (maschio),,arte religiosa,Gallerie dell'Accademia,Gallerie dell'Accademia,Madonna col Bambino,,Madonna col Bambino,,
