id,titolo
http://www.wikidata.org/entity/Q3842575,Madonna col Bambino tra i santi Giovanni Battista e Maria Maddalena
http://www.wikidata.org/entity/Q3842530,Madonna col Bambino e santi
http://www.wikidata.org/entity/Q3842673,Madonna della Pace
http://www.wikidata.org/entity/Q3842700,Madonna delle Rose
http://www.wikidata.org/entity/Q3842533,Madonna col Bambino e un angelo
http://www.wikidata.org/entity/Q3842543,Madonna col Bambino in trono e due angeli
http://www.wikidata.org/entity/Q3842577,Madonna col Bambino tra i santi Girolamo e Bernardo
http://www.wikidata.org/entity/Q3842594,Madonna col Bambino tra le sante Caterina e Maria Maddalena
http://www.wikidata.org/entity/Q3862624,monumento a Niccolò Brenzoni
http://www.wikidata.org/entity/Q3863247,Morte di san Filippo Benizi e resurrezione di un fanciullo
http://www.wikidata.org/entity/Q3873244,Natività della Vergine
http://www.wikidata.org/entity/Q3885620,Orfeo ed Euridice
http://www.wikidata.org/entity/Q3877894,Noli me tangere
http://www.wikidata.org/entity/Q3879242,Nuda
http://www.wikidata.org/entity/Q3884948,Orazione nell'orto del Getsemani
http://www.wikidata.org/entity/Q3889195,Pala Buronzo
http://www.wikidata.org/entity/Q3889203,Pala Gozzi
http://www.wikidata.org/entity/Q3889211,Pala Sforzesca
http://www.wikidata.org/entity/Q3889220,Pala del Corpus Domini
http://www.wikidata.org/entity/Q3889229,Pala dell'Alabarda
http://www.wikidata.org/entity/Q3889247,Pala di Pesaro
http://www.wikidata.org/entity/Q3889254,Pala di San Barnaba
http://www.wikidata.org/entity/Q3889255,Pala di San Francesco al Monte
http://www.wikidata.org/entity/Q3889253,Pala di San Francesco a Fabriano
http://www.wikidata.org/entity/Q3924389,Prova di Mosè
http://www.wikidata.org/entity/Q3907344,Polimnia
http://www.wikidata.org/entity/Q3904398,Pietà
http://www.wikidata.org/entity/Q3904392,Cristo in Pietà tra la Vergine e san Giovanni evangelista
http://www.wikidata.org/entity/Q3907497,Polittico di Arcevia
http://www.wikidata.org/entity/Q3908184,Ponte sospeso
http://www.wikidata.org/entity/Q3910913,Presentazione al Tempio
http://www.wikidata.org/entity/Q3910087,Predica di san Marco ad Alessandria d'Egitto
http://www.wikidata.org/entity/Q3921705,Prime Nevi
http://www.wikidata.org/entity/Q3921912,Primo trittico di Valle Castellana
http://www.wikidata.org/entity/Q3925592,Punizione dei bestemmiatori
http://www.wikidata.org/entity/Q3937643,Ritratto di Paolo III
http://www.wikidata.org/entity/Q3948701,Sant'Andrea
http://www.wikidata.org/entity/Q3947723,San Nicola in gloria
http://www.wikidata.org/entity/Q3947812,San Pietro che resuscita Tabitha
http://www.wikidata.org/entity/Q3948034,San Vitale e il cavallo
http://www.wikidata.org/entity/Q3948651,Sant'Agata e il carnefice
http://www.wikidata.org/entity/Q3949208,Santa Monica in trono con le suore agostiniane
http://www.wikidata.org/entity/Q3949310,Sante Lucia e Apollonia
http://www.wikidata.org/entity/Q3949373,Santi Stefano e Lorenzo
http://www.wikidata.org/entity/Q3949458,Santissimo Crocifisso di Marino
http://www.wikidata.org/entity/Q3949459,Santissimo Crocefisso del Miracolo
http://www.wikidata.org/entity/Q3937080,Rissa in galleria
http://www.wikidata.org/entity/Q3937438,Ritratto del vescovo Bernardo de' Rossi
http://www.wikidata.org/entity/Q3937502,Ritratto di Cosimo il Vecchio
http://www.wikidata.org/entity/Q3937511,Ritratto di Eleonora Gonzaga della Rovere
http://www.wikidata.org/entity/Q3937547,Ritratto di Giovanni Carlo Doria a cavallo
http://www.wikidata.org/entity/Q3937553,Ritratto di Giulia Varano
http://www.wikidata.org/entity/Q3937561,Ritratto di Giulio Clovio
http://www.wikidata.org/entity/Q3937569,Ritratto di Ippolito de' Medici
http://www.wikidata.org/entity/Q3937598,Ritratto di Lucina Brembati
http://www.wikidata.org/entity/Q3937634,Ritratto di Mosè Bianchi
http://www.wikidata.org/entity/Q3947288,San Girolamo
http://www.wikidata.org/entity/Q3947210,San Giorgio
http://www.wikidata.org/entity/Q3947211,San Giorgio
http://www.wikidata.org/entity/Q3945710,Salomè con la testa del Battista
http://www.wikidata.org/entity/Q3947281,San Giovannino
http://www.wikidata.org/entity/Q3947687,San Michele Arcangelo
http://www.wikidata.org/entity/Q3947504,San Luca
http://www.wikidata.org/entity/Q3946910,San Cristoforo
http://www.wikidata.org/entity/Q3947013,San Domenico
http://www.wikidata.org/entity/Q3944499,Sacra Famiglia con una santa
http://www.wikidata.org/entity/Q3944515,Sacra conversazione Balbi
http://www.wikidata.org/entity/Q3945254,Sala delle Arti liberali e dei Pianeti
http://www.wikidata.org/entity/Q3947064,San Filippo risana un lebbroso
http://www.wikidata.org/entity/Q3947277,San Giovanni e l'aquila
http://www.wikidata.org/entity/Q3947375,San Jacopo con due fanciulli
http://www.wikidata.org/entity/Q3954057,Secondo trittico di Valle Castellana
http://www.wikidata.org/entity/Q3967206,Sposalizio della Vergine
http://www.wikidata.org/entity/Q3983114,Temperanza
http://www.wikidata.org/entity/Q3982379,Tebaide
http://www.wikidata.org/entity/Q3979950,tabernacolo dei Linaioli - aperto
http://www.wikidata.org/entity/Q3979952,tabernacolo del Sacramento eucaristico
http://www.wikidata.org/entity/Q3979961,Tabernacolo di Boldrone
http://www.wikidata.org/entity/Q3981174,Tarquinio Prisco fonda il tempio di Giove in Campidoglio
http://www.wikidata.org/entity/Q4010476,vetrata del Duomo di Siena
http://www.wikidata.org/entity/Q3973584,Stimmate di san Francesco
http://www.wikidata.org/entity/Q3974449,Storie dei santi eremiti
http://www.wikidata.org/entity/Q3984830,Tersicore
http://www.wikidata.org/entity/Q3985472,Thalia
http://www.wikidata.org/entity/Q3992111,Tobia e l'angelo
http://www.wikidata.org/entity/Q3985169,Testa di Cristo
http://www.wikidata.org/entity/Q3985186,Testa di pastore
http://www.wikidata.org/entity/Q3994163,Torneo-battaglia di Louvezerp
http://www.wikidata.org/entity/Q4010941,Viaggio dei Magi
http://www.wikidata.org/entity/Q3997723,Trasfigurazione di Cristo
http://www.wikidata.org/entity/Q3998940,Trionfo della Morte
http://www.wikidata.org/entity/Q3999095,Trittico dei Frari
http://www.wikidata.org/entity/Q3999094,Trittico Raspa
http://www.wikidata.org/entity/Q4006302,Urania
http://www.wikidata.org/entity/Q7232305,Ritratto di Pietro Aretino
http://www.wikidata.org/entity/Q7232287,Ritratto di giovinetta
http://www.wikidata.org/entity/Q7232252,Ritratto di Andrea Doria
http://www.wikidata.org/entity/Q4014547,Virgo advocata
http://www.wikidata.org/entity/Q4015931,Vocazione di san Filippo Benizi
http://www.wikidata.org/entity/Q4015932,Vocazione di san Matteo
http://www.wikidata.org/entity/Q12172990,Ritratto di giovane pittore
http://www.wikidata.org/entity/Q5954551,Giudizio di Paride
http://www.wikidata.org/entity/Q5659648,Agar e Ismaele nel deserto
http://www.wikidata.org/entity/Q6696013,Ritratto lucano
http://www.wikidata.org/entity/Q15008032,Festino degli dei
http://www.wikidata.org/entity/Q15157527,Iscrizione di san Clemente e Sisinnio
http://www.wikidata.org/entity/Q16536592,Capriccio con edifici palladiani
