id,data_creazione
http://www.wikidata.org/entity/Q2715177,1606
http://www.wikidata.org/entity/Q2715302,1605
http://www.wikidata.org/entity/Q2717478,1467
http://www.wikidata.org/entity/Q2732274,1593
http://www.wikidata.org/entity/Q2734111,1598
http://www.wikidata.org/entity/Q2866382,1291
http://www.wikidata.org/entity/Q2872721,1791
http://www.wikidata.org/entity/Q2920183,1564
http://www.wikidata.org/entity/Q2929922,1291
http://www.wikidata.org/entity/Q3044873,1291
http://www.wikidata.org/entity/Q3185885,1291
http://www.wikidata.org/entity/Q3201479,1485
http://www.wikidata.org/entity/Q3207247,1915
http://www.wikidata.org/entity/Q3207678,1495
http://www.wikidata.org/entity/Q3207989,1484
http://www.wikidata.org/entity/Q3210267,1470 | 1477
http://www.wikidata.org/entity/Q3213773,1469
http://www.wikidata.org/entity/Q3213778,1470
http://www.wikidata.org/entity/Q3213801,1469
http://www.wikidata.org/entity/Q3220282,1500
http://www.wikidata.org/entity/Q3223625,1602
http://www.wikidata.org/entity/Q3276171,1295
http://www.wikidata.org/entity/Q3276168,1290
http://www.wikidata.org/entity/Q3276180,1291
http://www.wikidata.org/entity/Q3399438,1479
http://www.wikidata.org/entity/Q3463871,1518
http://www.wikidata.org/entity/Q3464027,1291
http://www.wikidata.org/entity/Q3471589,1291
http://www.wikidata.org/entity/Q3472935,1320
http://www.wikidata.org/entity/Q3495790,1515
http://www.wikidata.org/entity/Q3605530,1740
http://www.wikidata.org/entity/Q3605532,1496
http://www.wikidata.org/entity/Q3605568,1463
http://www.wikidata.org/entity/Q3618188,1528
http://www.wikidata.org/entity/Q3620766,1757
http://www.wikidata.org/entity/Q3620765,1760
http://www.wikidata.org/entity/Q3623738,1515
http://www.wikidata.org/entity/Q3625842,1544
http://www.wikidata.org/entity/Q3627401,1517
http://www.wikidata.org/entity/Q3630726,1542
http://www.wikidata.org/entity/Q3636748,1511
http://www.wikidata.org/entity/Q3639064,1886
http://www.wikidata.org/entity/Q3642142,1300
http://www.wikidata.org/entity/Q3650885,1460
http://www.wikidata.org/entity/Q3685501,1512
http://www.wikidata.org/entity/Q3686814,1510
http://www.wikidata.org/entity/Q3697588,1487
http://www.wikidata.org/entity/Q3697602,1430
http://www.wikidata.org/entity/Q3697640,1445 | 1447
http://www.wikidata.org/entity/Q3698182,1600
http://www.wikidata.org/entity/Q3698204,1545
http://www.wikidata.org/entity/Q3704794,1638
http://www.wikidata.org/entity/Q3706331,1510
http://www.wikidata.org/entity/Q3709306,1520
http://www.wikidata.org/entity/Q3711898,1250
http://www.wikidata.org/entity/Q3714445,1528
http://www.wikidata.org/entity/Q3725199,1520
http://www.wikidata.org/entity/Q3725832,1627
http://www.wikidata.org/entity/Q3731103,1450
http://www.wikidata.org/entity/Q3732905,1452
http://www.wikidata.org/entity/Q3740793,1470
http://www.wikidata.org/entity/Q3743879,1518
http://www.wikidata.org/entity/Q3747239,1423
http://www.wikidata.org/entity/Q3752350,1300
http://www.wikidata.org/entity/Q3752977,1496
http://www.wikidata.org/entity/Q3766168,1522 | 1600
http://www.wikidata.org/entity/Q3769202,1336
http://www.wikidata.org/entity/Q3771679,1515
http://www.wikidata.org/entity/Q3771746,1500
http://www.wikidata.org/entity/Q3771749,1521
http://www.wikidata.org/entity/Q3775535,1604
http://www.wikidata.org/entity/Q3778382,1439
http://www.wikidata.org/entity/Q3784247,1537
http://www.wikidata.org/entity/Q3784272,1545
http://www.wikidata.org/entity/Q3797482,1872
http://www.wikidata.org/entity/Q3817178,1494
http://www.wikidata.org/entity/Q3821139,1866
http://www.wikidata.org/entity/Q3821405,1861
http://www.wikidata.org/entity/Q3823990,1865
http://www.wikidata.org/entity/Q3831651,1509
http://www.wikidata.org/entity/Q3834971,1520
http://www.wikidata.org/entity/Q3842412,1476
http://www.wikidata.org/entity/Q3842413,1507
http://www.wikidata.org/entity/Q3842424,1450
http://www.wikidata.org/entity/Q3842438,1432
http://www.wikidata.org/entity/Q3842439,1515
http://www.wikidata.org/entity/Q3842472,1450
http://www.wikidata.org/entity/Q3842484,1450
http://www.wikidata.org/entity/Q3842522,1529
http://www.wikidata.org/entity/Q3842521,1505
http://www.wikidata.org/entity/Q3842530,1522
http://www.wikidata.org/entity/Q3842533,1479
http://www.wikidata.org/entity/Q3842543,1230
http://www.wikidata.org/entity/Q3842575,1520
http://www.wikidata.org/entity/Q3842577,1492
http://www.wikidata.org/entity/Q125813094,1800
http://www.wikidata.org/entity/Q125813375,1700
http://www.wikidata.org/entity/Q125813475,1800
http://www.wikidata.org/entity/Q125813876,1800
http://www.wikidata.org/entity/Q125863783,1563
http://www.wikidata.org/entity/Q125938897,
http://www.wikidata.org/entity/Q125973048,1732
http://www.wikidata.org/entity/Q125973990,1835
http://www.wikidata.org/entity/Q125974248,1730
http://www.wikidata.org/entity/Q126093976,1699
http://www.wikidata.org/entity/Q126127358,
http://www.wikidata.org/entity/Q126127672,1550 | 1590
http://www.wikidata.org/entity/Q126208372,
http://www.wikidata.org/entity/Q126208398,
http://www.wikidata.org/entity/Q126208411,
http://www.wikidata.org/entity/Q126215082,
http://www.wikidata.org/entity/Q126260153,
http://www.wikidata.org/entity/Q126284170,
http://www.wikidata.org/entity/Q126284172,
http://www.wikidata.org/entity/Q126284178,
http://www.wikidata.org/entity/Q126284177,
http://www.wikidata.org/entity/Q126284182,
http://www.wikidata.org/entity/Q126284183,
http://www.wikidata.org/entity/Q126284180,
http://www.wikidata.org/entity/Q126284181,
http://www.wikidata.org/entity/Q126284187,
http://www.wikidata.org/entity/Q126284185,
http://www.wikidata.org/entity/Q126284191,
http://www.wikidata.org/entity/Q126284189,
http://www.wikidata.org/entity/Q126284194,
http://www.wikidata.org/entity/Q126284192,
http://www.wikidata.org/entity/Q126284193,
http://www.wikidata.org/entity/Q126284198,1550
http://www.wikidata.org/entity/Q126284199,
http://www.wikidata.org/entity/Q126284196,1549
http://www.wikidata.org/entity/Q126284197,
http://www.wikidata.org/entity/Q126284206,
http://www.wikidata.org/entity/Q126284207,
http://www.wikidata.org/entity/Q126284226,
http://www.wikidata.org/entity/Q126284230,
http://www.wikidata.org/entity/Q126284231,
http://www.wikidata.org/entity/Q126284228,
http://www.wikidata.org/entity/Q126284229,
http://www.wikidata.org/entity/Q126284234,
http://www.wikidata.org/entity/Q126284232,
http://www.wikidata.org/entity/Q126284233,
http://www.wikidata.org/entity/Q126284238,
http://www.wikidata.org/entity/Q126284237,
http://www.wikidata.org/entity/Q126284242,
http://www.wikidata.org/entity/Q126284243,
http://www.wikidata.org/entity/Q126284240,
http://www.wikidata.org/entity/Q126284241,
http://www.wikidata.org/entity/Q126284246,
http://www.wikidata.org/entity/Q126284247,
http://www.wikidata.org/entity/Q126284244,
http://www.wikidata.org/entity/Q126284245,
http://www.wikidata.org/entity/Q126284250,
http://www.wikidata.org/entity/Q126284251,
http://www.wikidata.org/entity/Q126284249,
http://www.wikidata.org/entity/Q126284255,
http://www.wikidata.org/entity/Q126284252,
http://www.wikidata.org/entity/Q126284258,
http://www.wikidata.org/entity/Q126284256,
http://www.wikidata.org/entity/Q126284257,
http://www.wikidata.org/entity/Q126284263,
http://www.wikidata.org/entity/Q126284260,
http://www.wikidata.org/entity/Q126284261,
http://www.wikidata.org/entity/Q126284267,
http://www.wikidata.org/entity/Q126284264,
http://www.wikidata.org/entity/Q126284265,
http://www.wikidata.org/entity/Q126284270,
http://www.wikidata.org/entity/Q126284269,
http://www.wikidata.org/entity/Q126284274,
http://www.wikidata.org/entity/Q126284275,
http://www.wikidata.org/entity/Q126284272,
http://www.wikidata.org/entity/Q126284278,
http://www.wikidata.org/entity/Q126284279,
http://www.wikidata.org/entity/Q126284277,
http://www.wikidata.org/entity/Q126284282,
http://www.wikidata.org/entity/Q126284283,
http://www.wikidata.org/entity/Q126284281,
http://www.wikidata.org/entity/Q126284286,
http://www.wikidata.org/entity/Q126284284,
http://www.wikidata.org/entity/Q126284285,
http://www.wikidata.org/entity/Q126284288,
http://www.wikidata.org/entity/Q126284294,
http://www.wikidata.org/entity/Q126284295,1850
http://www.wikidata.org/entity/Q126284293,
http://www.wikidata.org/entity/Q126284298,
http://www.wikidata.org/entity/Q126284299,
http://www.wikidata.org/entity/Q126284296,
http://www.wikidata.org/entity/Q126284297,
http://www.wikidata.org/entity/Q126284303,
http://www.wikidata.org/entity/Q126284300,
http://www.wikidata.org/entity/Q126284301,
http://www.wikidata.org/entity/Q126284306,
http://www.wikidata.org/entity/Q126284305,
http://www.wikidata.org/entity/Q126284308,
http://www.wikidata.org/entity/Q126284309,
http://www.wikidata.org/entity/Q126284314,
