id,contenuti
http://www.wikidata.org/entity/Q549847,mela; donna; fiore; Mercurio; primavera; Cupido; albero; spada; Demetra; Ermes; Venere; freccia; gemma; Cariti; Flora; Zefiro; pianta fiorita; Clori; giardino; arancio
http://www.wikidata.org/entity/Q580853,Maria; madre; angelo; Bambino Gesù; Madonna col Bambino
http://www.wikidata.org/entity/Q592551,dio; marmo; Deruta; vedutismo; san Rocco; bastone da passeggio
http://www.wikidata.org/entity/Q672817,Maria; donna; ragazzo; Bambino Gesù
http://www.wikidata.org/entity/Q732821,acqua; libro; compasso; Luca Pacioli; gessetto; protrattore; Palazzo Ducale; rombicubottaedro; Ordine dei frati minori; spugna; dodecaedro regolare; lavagna
http://www.wikidata.org/entity/Q733017,Equus ferus caballus; drago; spada; san Giorgio; principe; fodero
http://www.wikidata.org/entity/Q734197,Maria; donna; colonna; marmo; portico; Elisabetta; Visitazione della Beata Vergine Maria; tabarro; drapperia; aureola
http://www.wikidata.org/entity/Q742801,giovane uomo
http://www.wikidata.org/entity/Q794077,"Cupido; stemma; Venere; paesaggio; donna vestita, uomo nudo; donna nuda; allegoria"
http://www.wikidata.org/entity/Q867678,donna; ermellino; cortigiana; posizione eretta
http://www.wikidata.org/entity/Q924655,Venezia; colonna; Marco; cadavere; via ad arco
http://www.wikidata.org/entity/Q945250,paesaggio
http://www.wikidata.org/entity/Q945625,uomo; stigmate; Francesco d'Assisi
http://www.wikidata.org/entity/Q948034,velo; Margherita Luti; donna giovane
http://www.wikidata.org/entity/Q955295,Maria; donna; ragazzo; madre; Bambino Gesù; Madonna col Bambino
http://www.wikidata.org/entity/Q959174,paesaggio; medaglia
http://www.wikidata.org/entity/Q1055111,Maria; donna; ragazzo; paesaggio; angelo; bracciolo; Bambino Gesù; telaio della finestra
http://www.wikidata.org/entity/Q1109340,donna; spada; sandalo; coraggio; abito da donna; trono; fortezza; armatura; posizione seduta
http://www.wikidata.org/entity/Q1109475,Maria; donna; strada urbana; Elisabetta; bianco; Abaya; Visitazione della Beata Vergine Maria; posizione eretta; Tichel
http://www.wikidata.org/entity/Q1110146,Maria; donna; uomo; ragazzo; preghiera; arco; edificio; cherubino; bianco; armatura; Bambino Gesù; adorazione dei pastori; nastro; gufo
http://www.wikidata.org/entity/Q1111232,Maria; donna; madre; ragazzo; aureola; Bambino Gesù; Madonna col Bambino
http://www.wikidata.org/entity/Q1113938,città ideale
http://www.wikidata.org/entity/Q1114823,Agostino d'Ippona
http://www.wikidata.org/entity/Q1114856,Maria; donna; ragazzo; Bambino Gesù
http://www.wikidata.org/entity/Q1114881,donna; Venere; dono; vaso; Cariti; putto; angelo; Giovanna degli Albizzi; posizione eretta; tela
http://www.wikidata.org/entity/Q1115413,Verginia
http://www.wikidata.org/entity/Q1115423,Gesù; Maria; uomo; preghiera; santo; Maria Maddalena; Giovanni
http://www.wikidata.org/entity/Q1119008,Maria; donna; piante; uomo; nuvola; Assunzione di Maria; Antonio abate; scettro; Ludovico di Tolosa; angelo; persona anziana; bastone da passeggio
http://www.wikidata.org/entity/Q1119782,Roma; Nerone; Sandro Botticelli; uomo; Pietro; cappello; papa Paolo I; Lorenzo de' Medici; Simone Mago; Mura aureliane; Filippino Lippi; farsetto; Antonio del Pollaiolo; piramide Cestia; crocifissione; bastone da passeggio
http://www.wikidata.org/entity/Q1121644,Equus ferus caballus; uomo; carro
http://www.wikidata.org/entity/Q1122002,Gesù; Maria; donna; uomo; ragazzo; preghiera; paesaggio; Gabriele; san Sebastiano; bianco; Vincenzo Ferreri; Bambino Gesù; angelo; San Cristoforo; martirio di San Sebastiano
http://www.wikidata.org/entity/Q1122537,Nettuno; Giove; Plutone
http://www.wikidata.org/entity/Q1131263,Gesù; Maria; donna; libro; uomo; santo; corona; angelo; croce cristiana
http://www.wikidata.org/entity/Q1132479,donna; Santa Lucia
http://www.wikidata.org/entity/Q1132486,Storie di sant'Orsola
http://www.wikidata.org/entity/Q1134060,donna; nudità; lavaggio; ombelico; Susanna; posizione seduta; persona anziana
http://www.wikidata.org/entity/Q1195035,umano; donna; bacio; uomo; scala; abito da donna; coppia; abbraccio; scalino
http://www.wikidata.org/entity/Q1212920,Gesù; uomo; flagellazione di Gesù
http://www.wikidata.org/entity/Q1215809,Maria; Marco; Bambino Gesù
http://www.wikidata.org/entity/Q1217187,
http://www.wikidata.org/entity/Q1237596,Vertumno
http://www.wikidata.org/entity/Q1240092,papa Innocenzo X
http://www.wikidata.org/entity/Q1328065,Eleonora di Toledo; Giovanni di Cosimo I de' Medici
http://www.wikidata.org/entity/Q1448203,conversione di Paolo
http://www.wikidata.org/entity/Q1448701,Gesù; uomo
http://www.wikidata.org/entity/Q1460271,papa Paolo V
http://www.wikidata.org/entity/Q1751408,donna; Maria; musica; ragazzo; madre; Giovanni Battista; Domenico di Guzmán; san Sebastiano; Giobbe; Ludovico di Tolosa; angelo; Sacra conversazione; Francesco d'Assisi; Bambino Gesù
http://www.wikidata.org/entity/Q1761496,Maria; crocifisso; capelli lunghi; Giovanni Battista; preghiera; Maria Maddalena; Cosma e Damiano; corona; Caterina d'Alessandria; trono; angelo; tonsura; turibolo; Francesco d'Assisi; monaco; Bambino Gesù; bastone da passeggio; unguentario
http://www.wikidata.org/entity/Q1762826,Maria; nuvola; paesaggio; Bambino Gesù; Madonna col Bambino
http://www.wikidata.org/entity/Q1863885,Mosè; Mosè e le figlie di Ietro
http://www.wikidata.org/entity/Q1899740,Maria; Pietro; Assunzione di Maria; Dio Padre; Giovanni; dodici apostoli
http://www.wikidata.org/entity/Q2011510,Dioniso; Bacco
http://www.wikidata.org/entity/Q2016193,Madonna col Bambino
http://www.wikidata.org/entity/Q2030685,donna; Maria; San Giuseppe; sposalizio della Vergine
http://www.wikidata.org/entity/Q2035209,aureola; mantello; Bambino Gesù; posizione eretta; velo; Madonna col Bambino; Maria; ragazzo; madre; nudità; abito da donna; biondi
http://www.wikidata.org/entity/Q2045726,battaglia di Anghiari
http://www.wikidata.org/entity/Q2066739,Maria; donna; madre; ragazzo; Paolo di Tarso; Pietro; angelo; Bambino Gesù; Madonna col Bambino
http://www.wikidata.org/entity/Q2092566,Tobia e l'angelo
http://www.wikidata.org/entity/Q2097931,Gesù; Eucaristia
http://www.wikidata.org/entity/Q2247307,Maria; donna; Madonna della Misericordia; san Sebastiano
http://www.wikidata.org/entity/Q2264942,Gesù; uomo
http://www.wikidata.org/entity/Q2267509,Giuditta
http://www.wikidata.org/entity/Q2268013,Maria; angelo; Bambino Gesù
http://www.wikidata.org/entity/Q2269291,Maria; donna; madre; ragazzo; angelo; Bambino Gesù
http://www.wikidata.org/entity/Q2269585,Maria; donna; madre; ragazzo; Bambino Gesù
http://www.wikidata.org/entity/Q2270291,mela; uva; foglia; cesto; fico; frutta; pera
http://www.wikidata.org/entity/Q2273517,Paolo di Tarso; conversione di Paolo
http://www.wikidata.org/entity/Q2275353,
http://www.wikidata.org/entity/Q2275371,Francesco d'Assisi
http://www.wikidata.org/entity/Q2277635,Gesù; uomo
http://www.wikidata.org/entity/Q2284829,Abramo; angelo; Isacco; agnello; Sacrificio di Isacco; Moriah
http://www.wikidata.org/entity/Q2293905,donna; Medusa; testa umana
http://www.wikidata.org/entity/Q2293936,Caravaggio; Bacco
http://www.wikidata.org/entity/Q2325834,Gesù; uomo
http://www.wikidata.org/entity/Q2327715,Maria; donna; ragazzo; Bambino Gesù
http://www.wikidata.org/entity/Q2337873,Matteo; angelo
http://www.wikidata.org/entity/Q2338404,musicista
http://www.wikidata.org/entity/Q2338417,uomo; Matteo
http://www.wikidata.org/entity/Q2343939,montagna; freccia; san Sebastiano; aureola
http://www.wikidata.org/entity/Q2405771,donna giovane
http://www.wikidata.org/entity/Q2426058,centauro; Minerva
http://www.wikidata.org/entity/Q2448678,bambino; massacro
http://www.wikidata.org/entity/Q2459887,Gesù; uomo; Date a Cesare quello che è di Cesare e a Dio quello che è di Dio
http://www.wikidata.org/entity/Q2470123,"donna; uomo; sangue; nudità; letto; barba; omicidio; collaboratore domestico; tenda; rossi; scimitarra; abito da donna; lenzuolo; orecchino; posizione eretta; decapitazione; agonia; Oloferne; castani; donna vestita, uomo nudo; panneggio; Giuditta; persona anziana; decubito; Cuffia; Fillide Melandroni"
http://www.wikidata.org/entity/Q2472983,gatto domestico; Gesù; cane; uomo; donna; tavolo; apostolo; piatto; cesto; Ultima cena; angelo; coppa; frutta; bicchiere; lampada
http://www.wikidata.org/entity/Q2515309,Agnolo Doni
http://www.wikidata.org/entity/Q2551625,Maria; ragazzo; madre; donna; Bambino Gesù; Madonna col Bambino
http://www.wikidata.org/entity/Q2610729,tavolo; papa Clemente VII; papa Leone X; campanella; Bibbia di Hamilton; tovaglia; Luigi de' Rossi
http://www.wikidata.org/entity/Q2610936,mela; uva; Mario Minniti; cesto; fico; pesca
http://www.wikidata.org/entity/Q2626595,Opera di misericordia; Caritas Romana
http://www.wikidata.org/entity/Q2627056,spada; Davide; Caravaggio; Davide con la testa di Golia
http://www.wikidata.org/entity/Q2629715,uomo
http://www.wikidata.org/entity/Q3842594,Maria; donna; ragazzo; madre; capelli lunghi; Maria Maddalena; Caterina d'Alessandria; Bambino Gesù
http://www.wikidata.org/entity/Q3842673,Maria; donna; ragazzo; madre; Bambino Gesù
http://www.wikidata.org/entity/Q3842700,Maria; Antonio abate; Sacra conversazione; San Giovannino; Madonna col Bambino; Bambino Gesù
http://www.wikidata.org/entity/Q3842706,mela; Maria; donna; ragazzo; madre; noce; Carduelis carduelis; cetriolo; Bambino Gesù
http://www.wikidata.org/entity/Q3842713,Maria; donna; ragazzo; madre; Madonna del Latte; Bambino Gesù
http://www.wikidata.org/entity/Q3842725,Maria; donna; ragazzo; madre; Madonna col Bambino; Bambino Gesù
http://www.wikidata.org/entity/Q3862624,Maria; animale; uccello; angelo
http://www.wikidata.org/entity/Q3863247,
http://www.wikidata.org/entity/Q3873244,Maria; donna; nascita di Maria
http://www.wikidata.org/entity/Q3877894,Gesù; donna; capelli lunghi; uomo; Maria Maddalena
http://www.wikidata.org/entity/Q3879242,nudo artistico
http://www.wikidata.org/entity/Q3884948,Gesù; uomo
http://www.wikidata.org/entity/Q3885620,Orfeo; Euridice
http://www.wikidata.org/entity/Q3889195,Maria; Bambino Gesù
http://www.wikidata.org/entity/Q3889203,Maria; Biagio di Sebaste; apparizioni e altre manifestazioni mariane; Francesco d'Assisi; Bambino Gesù; Luigi Gozzi
http://www.wikidata.org/entity/Q3889211,Maria; ragazzo; Agostino d'Ippona; Sofronio Eusebio Girolamo; papa Gregorio I; Sant'Ambrogio; Ludovico il Moro; Beatrice d'Este; Madonna col Bambino; Bambino Gesù
http://www.wikidata.org/entity/Q3889220,Gesù; uomo
http://www.wikidata.org/entity/Q3889229,Maria; Simone il Cananeo; San Lorenzo; angelo; Stefano; corona; Giovanni; Bambino Gesù; interno
http://www.wikidata.org/entity/Q3889247,Gesù; Maria; donna; uomo
http://www.wikidata.org/entity/Q3889254,Gesù; Maria; libro; madre; Agostino d'Ippona; Ignazio di Antiochia; Michele; santo; Giovanni Battista; penna; Caterina d'Alessandria; armatura; angelo; Barnaba; trono; Bambino Gesù; tiara; soldato
http://www.wikidata.org/entity/Q3889255,Maria; donna; ragazzo; madre; Sofronio Eusebio Girolamo; Rosa; San Giuseppe; stigmate; Chiara d'Assisi; Francesco d'Assisi; Bambino Gesù; Eucaristia; rosa flore
http://www.wikidata.org/entity/Q3889253,Gesù; Maria; donna; capelli lunghi; uomo; san Giorgio; Maria Maddalena; san Sebastiano; Incoronazione della Vergine
http://www.wikidata.org/entity/Q3904392,Gesù; Maria; Giovanni; Pietà
