id,edizione
http://www.wikidata.org/entity/Q103918366,3
http://www.wikidata.org/entity/Q103918370,3
http://www.wikidata.org/entity/Q103918368,3
http://www.wikidata.org/entity/Q103918375,3
http://www.wikidata.org/entity/Q103918377,2
http://www.wikidata.org/entity/Q103918373,3
http://www.wikidata.org/entity/Q103919289,1
http://www.wikidata.org/entity/Q103919294,1
http://www.wikidata.org/entity/Q103919299,2
http://www.wikidata.org/entity/Q103919296,2
http://www.wikidata.org/entity/Q103919303,2
http://www.wikidata.org/entity/Q103919301,2
http://www.wikidata.org/entity/Q103919307,2
http://www.wikidata.org/entity/Q103919323,1
http://www.wikidata.org/entity/Q103919309,2
http://www.wikidata.org/entity/Q103919305,3
http://www.wikidata.org/entity/Q103919315,3
http://www.wikidata.org/entity/Q103919312,3
http://www.wikidata.org/entity/Q103919318,3
http://www.wikidata.org/entity/Q103919320,2
http://www.wikidata.org/entity/Q103919326,2
http://www.wikidata.org/entity/Q103919336,1
http://www.wikidata.org/entity/Q103919328,2
http://www.wikidata.org/entity/Q103919331,3
http://www.wikidata.org/entity/Q103919333,3
http://www.wikidata.org/entity/Q103919343,2
http://www.wikidata.org/entity/Q103919339,3
http://www.wikidata.org/entity/Q103919346,2
http://www.wikidata.org/entity/Q103919357,1
http://www.wikidata.org/entity/Q103919362,1
http://www.wikidata.org/entity/Q103919351,3
http://www.wikidata.org/entity/Q103919353,2
http://www.wikidata.org/entity/Q103919348,3
http://www.wikidata.org/entity/Q103919359,2
http://www.wikidata.org/entity/Q103919369,1
http://www.wikidata.org/entity/Q103919372,1
http://www.wikidata.org/entity/Q103919364,2
http://www.wikidata.org/entity/Q103919366,3
http://www.wikidata.org/entity/Q103919380,1
http://www.wikidata.org/entity/Q103919378,2
http://www.wikidata.org/entity/Q103919376,3
http://www.wikidata.org/entity/Q36484095,4
http://www.wikidata.org/entity/Q36484102,4
http://www.wikidata.org/entity/Q36484107,4
http://www.wikidata.org/entity/Q36484116,4
http://www.wikidata.org/entity/Q36484122,4
http://www.wikidata.org/entity/Q36484126,4
http://www.wikidata.org/entity/Q36484132,4
http://www.wikidata.org/entity/Q36484137,4
http://www.wikidata.org/entity/Q36484143,4
http://www.wikidata.org/entity/Q36484148,4
http://www.wikidata.org/entity/Q36484157,4
http://www.wikidata.org/entity/Q36484160,4
http://www.wikidata.org/entity/Q36484165,4
http://www.wikidata.org/entity/Q36484169,4
http://www.wikidata.org/entity/Q36484173,4
http://www.wikidata.org/entity/Q36484177,4
http://www.wikidata.org/entity/Q36484182,4
http://www.wikidata.org/entity/Q36484194,4
http://www.wikidata.org/entity/Q111967334,3
http://www.wikidata.org/entity/Q111967335,3
http://www.wikidata.org/entity/Q111967338,3
http://www.wikidata.org/entity/Q111967336,3
http://www.wikidata.org/entity/Q111967337,3
http://www.wikidata.org/entity/Q111967340,3
http://www.wikidata.org/entity/Q111967341,3
http://www.wikidata.org/entity/Q36484198,4
http://www.wikidata.org/entity/Q36484219,4
http://www.wikidata.org/entity/Q69776340,4
http://www.wikidata.org/entity/Q69776400,4
http://www.wikidata.org/entity/Q69776436,4
http://www.wikidata.org/entity/Q69776444,4
http://www.wikidata.org/entity/Q69776453,4
http://www.wikidata.org/entity/Q111967342,3
http://www.wikidata.org/entity/Q111967343,3
http://www.wikidata.org/entity/Q111967346,3
http://www.wikidata.org/entity/Q111967347,3
http://www.wikidata.org/entity/Q111967344,3
http://www.wikidata.org/entity/Q111967345,3
http://www.wikidata.org/entity/Q111967570,3
http://www.wikidata.org/entity/Q114851255,2
http://www.wikidata.org/entity/Q117428586,1
http://www.wikidata.org/entity/Q117428593,1
http://www.wikidata.org/entity/Q117428678,1
http://www.wikidata.org/entity/Q117428679,1
http://www.wikidata.org/entity/Q117428677,1
http://www.wikidata.org/entity/Q117447410,1
http://www.wikidata.org/entity/Q117447411,1
http://www.wikidata.org/entity/Q117447409,1
http://www.wikidata.org/entity/Q117447506,1
http://www.wikidata.org/entity/Q117447507,1
http://www.wikidata.org/entity/Q117447504,1
http://www.wikidata.org/entity/Q117447505,1
http://www.wikidata.org/entity/Q117447582,1
http://www.wikidata.org/entity/Q117447583,1
http://www.wikidata.org/entity/Q117448463,2
http://www.wikidata.org/entity/Q117448466,2
http://www.wikidata.org/entity/Q117448465,2
http://www.wikidata.org/entity/Q117448470,2
http://www.wikidata.org/entity/Q117448469,2
http://www.wikidata.org/entity/Q117448474,2
http://www.wikidata.org/entity/Q117448475,2
http://www.wikidata.org/entity/Q117448472,2
http://www.wikidata.org/entity/Q117448473,2
http://www.wikidata.org/entity/Q117455592,3
http://www.wikidata.org/entity/Q117455593,3
http://www.wikidata.org/entity/Q36464142,4
http://www.wikidata.org/entity/Q36464146,4
http://www.wikidata.org/entity/Q36464134,4
http://www.wikidata.org/entity/Q125017954,
http://www.wikidata.org/entity/Q136491214,
http://www.wikidata.org/entity/Q136940308,
http://www.wikidata.org/entity/Q136456633,4
http://www.wikidata.org/entity/Q136593412,4
http://www.wikidata.org/entity/Q136665118,4
http://www.wikidata.org/entity/Q136678249,4
http://www.wikidata.org/entity/Q117455594,3
http://www.wikidata.org/entity/Q117455595,3
http://www.wikidata.org/entity/Q117455598,3
http://www.wikidata.org/entity/Q117455596,3
http://www.wikidata.org/entity/Q117455597,3
http://www.wikidata.org/entity/Q117455602,3
http://www.wikidata.org/entity/Q117455603,3
http://www.wikidata.org/entity/Q117455600,3
http://www.wikidata.org/entity/Q117455601,3
http://www.wikidata.org/entity/Q117455604,3
http://www.wikidata.org/entity/Q117455605,3
