id,basi_dati
http://www.wikidata.org/entity/Q58773251,Scopus; Google Scholar; DOAJ; SCImago Journal Rank
http://www.wikidata.org/entity/Q58773249,Scopus; Google Scholar; DOAJ; SCImago Journal Rank
http://www.wikidata.org/entity/Q58773254,Scopus; Google Scholar; DOAJ; SCImago Journal Rank
http://www.wikidata.org/entity/Q58773253,Scopus; Google Scholar; DOAJ; SCImago Journal Rank
http://www.wikidata.org/entity/Q58773258,Scopus; Google Scholar; DOAJ; SCImago Journal Rank
http://www.wikidata.org/entity/Q58773260,Scopus; Google Scholar; DOAJ; SCImago Journal Rank
http://www.wikidata.org/entity/Q58773261,Scopus; Google Scholar; DOAJ; SCImago Journal Rank
http://www.wikidata.org/entity/Q58773267,Scopus; Google Scholar; DOAJ; SCImago Journal Rank
http://www.wikidata.org/entity/Q58773264,Scopus; Google Scholar; DOAJ; SCImago Journal Rank
http://www.wikidata.org/entity/Q58826209,Scopus; Google Scholar; DOAJ; SCImago Journal Rank
http://www.wikidata.org/entity/Q58953729,Scopus; Google Scholar; DOAJ; SCImago Journal Rank
http://www.wikidata.org/entity/Q58953763,Scopus; Google Scholar; DOAJ; SCImago Journal Rank
http://www.wikidata.org/entity/Q58953796,Scopus; Google Scholar; DOAJ; SCImago Journal Rank
http://www.wikidata.org/entity/Q58953832,Scopus; Google Scholar; DOAJ; SCImago Journal Rank
http://www.wikidata.org/entity/Q58953868,Scopus; Google Scholar; DOAJ; SCImago Journal Rank
http://www.wikidata.org/entity/Q58953902,Scopus; Google Scholar; DOAJ; SCImago Journal Rank
http://www.wikidata.org/entity/Q58953937,Scopus; Google Scholar; DOAJ; SCImago Journal Rank
http://www.wikidata.org/entity/Q58953970,Scopus; Google Scholar; DOAJ; SCImago Journal Rank
http://www.wikidata.org/entity/Q58954003,Scopus; Google Scholar; DOAJ; SCImago Journal Rank
http://www.wikidata.org/entity/Q58954040,Scopus; Google Scholar; DOAJ; SCImago Journal Rank
http://www.wikidata.org/entity/Q58954077,Scopus; Google Scholar; DOAJ; SCImago Journal Rank
http://www.wikidata.org/entity/Q58954115,Scopus; Google Scholar; DOAJ; SCImago Journal Rank
http://www.wikidata.org/entity/Q58954151,Scopus; Google Scholar; DOAJ; SCImago Journal Rank
http://www.wikidata.org/entity/Q58954188,Scopus; Google Scholar; DOAJ; SCImago Journal Rank
http://www.wikidata.org/entity/Q58954224,Scopus; Google Scholar; DOAJ; SCImago Journal Rank
http://www.wikidata.org/entity/Q59096078,Scopus; Google Scholar; DOAJ; SCImago Journal Rank
http://www.wikidata.org/entity/Q59096076,Scopus; Google Scholar; DOAJ; SCImago Journal Rank
http://www.wikidata.org/entity/Q59096077,Scopus; Google Scholar; DOAJ; SCImago Journal Rank
http://www.wikidata.org/entity/Q59096082,Scopus; Google Scholar; DOAJ; SCImago Journal Rank
http://www.wikidata.org/entity/Q59096080,Scopus; Google Scholar; DOAJ; SCImago Journal Rank
http://www.wikidata.org/entity/Q59096081,Scopus; Google Scholar; DOAJ; SCImago Journal Rank
http://www.wikidata.org/entity/Q59096086,Scopus; Google Scholar; DOAJ; SCImago Journal Rank
http://www.wikidata.org/entity/Q59096084,Scopus; Google Scholar; DOAJ; SCImago Journal Rank
http://www.wikidata.org/entity/Q59096085,Scopus; Google Scholar; DOAJ; SCImago Journal Rank
http://www.wikidata.org/entity/Q59096090,Scopus; Google Scholar; DOAJ; SCImago Journal Rank
http://www.wikidata.org/entity/Q59096088,Scopus; Google Scholar; DOAJ; SCImago Journal Rank
